variable_name;country;voivodship;entrants_status;sex;information_type_with_measure_unit;year;value;
Number of persons who took/passed a matriculation exam;Poland;Total;took;men;value [person];2010;160988;
Number of persons who took/passed a matriculation exam;Poland;Total;took;women;value [person];2010;205635;
Number of persons who took/passed a matriculation exam;Poland;Total;took;men;value [person];2011;150984;
Number of persons who took/passed a matriculation exam;Poland;Total;took;women;value [person];2011;192840;
Number of persons who took/passed a matriculation exam;Poland;Total;took;men;value [person];2012;145321;
Number of persons who took/passed a matriculation exam;Poland;Total;took;women;value [person];2012;184697;
Number of persons who took/passed a matriculation exam;Poland;Total;took;men;value [person];2013;139294;
Number of persons who took/passed a matriculation exam;Poland;Total;took;women;value [person];2013;175191;
Number of persons who took/passed a matriculation exam;Poland;Total;took;men;value [person];2014;130721;
Number of persons who took/passed a matriculation exam;Poland;Total;took;women;value [person];2014;163253;
Number of persons who took/passed a matriculation exam;Poland;Total;took;men;value [person];2015;123785;
Number of persons who took/passed a matriculation exam;Poland;Total;took;women;value [person];2015;151783;
Number of persons who took/passed a matriculation exam;Poland;Total;took;men;value [person];2016;115469;
Number of persons who took/passed a matriculation exam;Poland;Total;took;women;value [person];2016;142903;
Number of persons who took/passed a matriculation exam;Poland;Total;took;men;value [person];2017;116577;
Number of persons who took/passed a matriculation exam;Poland;Total;took;women;value [person];2017;141453;
Number of persons who took/passed a matriculation exam;Poland;Total;took;men;value [person];2018;112592;
Number of persons who took/passed a matriculation exam;Poland;Total;took;women;value [person];2018;135248;
Number of persons who took/passed a matriculation exam;Poland;Total;took;men;value [person];2019;112879;
Number of persons who took/passed a matriculation exam;Poland;Total;took;women;value [person];2019;134351;
Number of persons who took/passed a matriculation exam;Poland;Total;took;men;value [person];2020;119132;
Number of persons who took/passed a matriculation exam;Poland;Total;took;women;value [person];2020;140140;
Number of persons who took/passed a matriculation exam;Poland;Total;took;men;value [person];2021;125659;
Number of persons who took/passed a matriculation exam;Poland;Total;took;women;value [person];2021;147760;
Number of persons who took/passed a matriculation exam;Poland;Total;took;men;value [person];2022;123213;
Number of persons who took/passed a matriculation exam;Poland;Total;took;women;value [person];2022;145044;
Number of persons who took/passed a matriculation exam;Poland;Total;took;men;value [person];2023;115130;
