Year;Type of reservoir;Species;Catches
2010;Sea fish;codfishes;16,5
2010;Sea fish;herring;24,7
2010;Sea fish;sprat;58,8
2010;Sea fish;other sea fish;70,7
2010;Freshwater fish;freshwater;45,1
2011;Sea fish;codfishes;16,9
2011;Sea fish;herring;29,9
2011;Sea fish;sprat;56,5
2011;Sea fish;other sea fish;76,6
2011;Freshwater fish;freshwater;48,3
2012;Sea fish;codfishes;19,3
2012;Sea fish;herring;27,1
2012;Sea fish;sprat;63,1
2012;Sea fish;other sea fish;70,1
2012;Freshwater fish;freshwater;50,4
2013;Sea fish;codfishes;19,6
2013;Sea fish;herring;23,6
2013;Sea fish;sprat;81
2013;Sea fish;other sea fish;71,3
2013;Freshwater fish;freshwater;49,8
2014;Sea fish;codfishes;19,4
2014;Sea fish;herring;28,1
2014;Sea fish;sprat;58,6
2014;Sea fish;other sea fish;64,3
2014;Freshwater fish;freshwater;54,8
2015;Sea fish;codfishes;20,1
2015;Sea fish;herring;39,7
2015;Sea fish;sprat;64,2
2015;Sea fish;other sea fish;59,8
2015;Freshwater fish;freshwater;50,4
2016;Sea fish;codfishes;17,9
2016;Sea fish;herring;44,1
2016;Sea fish;sprat;60,1
2016;Sea fish;other sea fish;75
2016;Freshwater fish;freshwater;52,3
2017;Sea fish;codfishes;27,6
2017;Sea fish;herring;43,7
2017;Sea fish;sprat;70
2017;Sea fish;other sea fish;68,7
2017;Freshwater fish;freshwater;53,3
2018;Sea fish;codfishes;15,8
2018;Sea fish;herring;52,3
2018;Sea fish;sprat;74,2
2018;Sea fish;other sea fish;54,9
2018;Freshwater fish;freshwater;58,5
2019;Sea fish;codfishes;42,4
2019;Sea fish;herring;42
2019;Sea fish;sprat;74,5
2019;Sea fish;other sea fish;44,3
2019;Freshwater fish;freshwater;59,8
2020;Sea fish;codfishes;49,3
2020;Sea fish;herring;38,9
2020;Sea fish;sprat;60,6
2020;Sea fish;other sea fish;43,1
2020;Freshwater fish;freshwater;59,4
2021;Sea fish;codfishes;29,1
2021;Sea fish;herring;28,6
2021;Sea fish;sprat;66,6
2021;Sea fish;other sea fish;61,6
2021;Freshwater fish;freshwater;56,8
